Title,Link,Tag
https://www.youtube.com/watch?v=Ul7uGql3aN0,342. Power of Four || leetcode || easy problem || c++ solution with explanation,math |bit-manipulation |recursion |
https://www.youtube.com/watch?v=BaGKt0QXqVU,476. Number Complement || leetcode || easy question || c++ solution with explanation,bit-manipulation |
https://www.youtube.com/watch?v=O8Wh0nFyXGo,1365. How Many Numbers Are Smaller Than the Current Number || leetcode || easy prob || c++ solution,array |hash-table |sorting |counting |
https://www.youtube.com/watch?v=YZAu943vTwY,1304. Find N Unique Integers Sum up to Zero || leetcode || easy question || array || c++ solution,array |math |
https://www.youtube.com/watch?v=cGAXF_ZumCk,1207. Unique Number of Occurrences || leetcode || easy problem|| c++ solution with explanation,array |hash-table |
https://www.youtube.com/watch?v=F_peoPLZ1jc,867. Transpose Matrix || leetcode || easy solution || matrix || c++ solution with explaination,array |matrix |simulation |
https://www.youtube.com/watch?v=8_1nCSy4BjM,832. Flipping an Image || leetcode || easy problem || logical || c++ solution with explanation,array |two-pointers |matrix |simulation |
https://www.youtube.com/watch?v=Kyd4c4FjW1w,771. Jewels and Stones || leetcode || easy problem || string || hashing || c++ solution,hash-table |string |
https://www.youtube.com/watch?v=J1lyyaG9m7E,500. Keyboard Row || leetcode || easy question || logical question,array |hash-table |string |
https://www.youtube.com/watch?v=ino2iozfPQM,230. Kth Smallest Element in a BST || leetcode || medium question || c++,tree |depth-first-search |binary-search-tree |binary-tree |
https://www.youtube.com/watch?v=70hfPvSfzA4,347. Top K Frequent Elements || leetcode || medium question || c++,array |hash-table |divide-and-conquer |sorting |heap-priority-queue |bucket-sort |counting |quickselect |
https://www.youtube.com/watch?v=Uch00ZGPdG8,384. Shuffle an Array || leetcode || medium question || c++,array |math |randomized |
https://www.youtube.com/watch?v=JV2x41rSVAI,1329. Sort the Matrix Diagonally || biweekly-contest-18 || leetcode || medium problem || c++,
https://www.youtube.com/watch?v=pLzb27cOpuM,1328. Break a Palindrome || biweekly-contest-18 || leetcode || medium question|| c++,
https://www.youtube.com/watch?v=NvJoprt7tF8,1331. Rank Transform of an Array || biweekly-contest-18 || leetcode || easy question || c++,
https://www.youtube.com/watch?v=hjDLgcOuk_w,1318. Minimum Flips to Make a OR b Equal to c || leetcode || medium problem || c++,bit-manipulation |
https://www.youtube.com/watch?v=lH-3Mcwf48w,231. Power of Two || leetcode || easy problem || c++ solution with explanation,math |bit-manipulation |recursion |
https://www.youtube.com/watch?v=_1-tABXtGX4,451. Sort Characters By Frequency || leetcode || medium question || c++ solution with explanation,hash-table |string |sorting |heap-priority-queue |bucket-sort |counting |
https://www.youtube.com/watch?v=QJVpQ8ZYD6I,633. Sum of Square Numbers || leetcode || easy question || c++ solution with explanation,math |two-pointers |binary-search |
https://www.youtube.com/watch?v=NGQy5kglpNE,1037. Valid Boomerang || leetcode || easy question || c++ solution with explanation,array |math |geometry |
https://www.youtube.com/watch?v=nWDSb1lmXk0,508. Most Frequent Subtree Sum || leetcode || medium question || c++ solution and explanation,hash-table |tree |depth-first-search |binary-tree |
https://www.youtube.com/watch?v=gB91SgAdmCg,60. Permutation Sequence || leetcode || medium question || c++ solution and explanation,math |recursion |
https://www.youtube.com/watch?v=Ch_3xAzxSYo,1374. Generate a String With Characters That Have Odd Counts || Leetcode weekly contest 179,string |
https://www.youtube.com/watch?v=MXHvUtuMAPM,1375. Bulb Switcher III || leetcode || leetcode weekly 179 || c++ solution,array |
https://www.youtube.com/watch?v=uZCk2OF2f8c,1380. Lucky Numbers in a Matrix | LEETCODE | WEEKLY CONTEST 180 | C++ SOLUTION | EASY PROBLEM,array |matrix |
https://www.youtube.com/watch?v=mW1-hkW-wLM,1317. Convert Integer to the Sum of Two No-Zero Integers || leetcode || easy question || c++,math |
https://www.youtube.com/watch?v=0EcX_M646XU,Private video,
https://www.youtube.com/watch?v=KjOItwwcHZw,1299. Replace Elements with Greatest Element on Right Side || easy question || c++ solution,array |
https://www.youtube.com/watch?v=JGrd-wOxhjo,Decompress Run-Length Encoded List || Leetoced 131 || Biweekly contest 17 || easy question,
https://www.youtube.com/watch?v=sLgrWTOQSGs,leetcode 1325 || leetcode contest 172 || Delete Leaves With a Given Value || Medium question || C++,
https://www.youtube.com/watch?v=gu_fYCFS47E,leetcode 1324 || Weekly Contest 172 || Print Words Vertically || Medium question || latest question,
https://www.youtube.com/watch?v=RDxtuE8Nhgs,leetcode 1323 || Weekly Contest 172 || Maximum 69 Number || Easy question || latest question,
https://www.youtube.com/watch?v=nYoxPNCTDQA,136. Single Number || leetcode || code explanation || top 100 questions,
https://www.youtube.com/watch?v=Z3pawlBj8Zo,557. Reverse Words in a String III || Leetcode || easy explanation,
https://www.youtube.com/watch?v=eHtltHBn-Z0,Counting Elements || leetcode challenge #30 day challenge solution || #day7 || c++ solution,
https://www.youtube.com/watch?v=q9u_KFBp2E8,Increasing Order Search Tree || leetcode 897 || c++ solution || with explanation,stack |tree |depth-first-search |binary-search-tree |binary-tree |
